action_id,name,category,subcategory
112,Monster_Walk,WalkAndRun,Walking
113,Mummy_Stagger,BodyMovements,Acting
114,Proud_Strut,WalkAndRun,Walking
115,Quick_Walk,WalkAndRun,Walking
116,Run_to_Walk_Transition,WalkAndRun,Walking
117,Red_Carpet_Walk,WalkAndRun,Walking
118,Skip_Forward,WalkAndRun,Walking
119,Slow_Orc_Walk,WalkAndRun,Walking
120,Touch_and_Run,WalkAndRun,Running
121,Thoughtful_Walk,WalkAndRun,Walking
122,Texting_Walk,WalkAndRun,Walking
123,Unsteady_Walk,WalkAndRun,Walking
124,Walking_with_Phone,WalkAndRun,Walking
125,Charged_Spell_Cast,Fighting,CastingSpell
126,Charged_Spell_Cast_1,Fighting,CastingSpell
127,Charged_Ground_Slam,Fighting,CastingSpell
128,Heavy_Hammer_Swing,Fighting,AttackingwithWeapon
129,mage_soell_cast,Fighting,CastingSpell
130,mage_soell_cast_1,Fighting,CastingSpell
131,mage_soell_cast_2,Fighting,CastingSpell
132,mage_soell_cast_3,Fighting,CastingSpell
133,mage_soell_cast_4,Fighting,CastingSpell
134,mage_soell_cast_5,Fighting,CastingSpell
135,mage_soell_cast_6,Fighting,CastingSpell
136,mage_soell_cast_7,Fighting,CastingSpell
137,mage_soell_cast_8,Fighting,CastingSpell
138,Block1,Fighting,Blocking
139,Block2,Fighting,Blocking
140,Block3,Fighting,Blocking
141,Block4,Fighting,Blocking
142,Block5,Fighting,Blocking
143,Block6,Fighting,Blocking
144,Block8,Fighting,Blocking
145,Block9,Fighting,Blocking
146,Block10,Fighting,Blocking
147,Sword_Parry,Fighting,Blocking
148,Sword_Parry_Backward,Fighting,Blocking
149,Two_Handed_Parry,Fighting,Blocking
150,Hit_Reaction_with_Bow,Fighting,Blocking
151,Sword_Parry_Backward_1,Fighting,Blocking
152,Sword_Parry_Backward_2,Fighting,Blocking
153,Sword_Parry_Backward_3,Fighting,Blocking
154,Sword_Parry_Backward_4,Fighting,Blocking
155,Sword_Parry_Backward_5,Fighting,Blocking
156,Stand_Dodge,Fighting,Transitioning
157,Stand_Dodge_1,Fighting,Transitioning
158,Roll_Dodge,Fighting,Transitioning
159,Roll_Dodge_1,Fighting,Transitioning
160,Roll_Dodge_2,Fighting,Transitioning
161,Roll_Dodge_3,Fighting,Transitioning
162,Stand_Dodge_2,Fighting,Transitioning
163,Roll_Dodge_4,Fighting,Transitioning
164,Stand_Dodge_3,Fighting,Transitioning
165,Kneeling_Reload,Fighting,Transitioning
166,Running_Reload,Fighting,Transitioning
167,Slow_Walk_Reload,Fighting,Transitioning
168,Prone_Reload,Fighting,Transitioning
169,Forward_Reload_Subtle,Fighting,Transitioning
170,Standing_Reload,Fighting,Transitioning
171,Hit_Reaction_to_Waist,Fighting,Transitioning
172,Electrocution_Reaction,Fighting,GettingHit
173,Slap_Reaction,Fighting,GettingHit
174,Face_Punch_Reaction,Fighting,GettingHit
175,Face_Punch_Reaction_1,Fighting,GettingHit
176,Face_Punch_Reaction_2,Fighting,GettingHit
177,Gunshot_Reaction,Fighting,GettingHit
178,Hit_Reaction,Fighting,GettingHit
179,Hit_Reaction_1,Fighting,GettingHit
180,Shot_in_the_Back_and_Fall,Fighting,GettingHit
181,Electrocuted_Fall,Fighting,Dying
182,Shot_and_Blown_Back,Fighting,Dying
183,Shot_and_Fall_Backward,Fighting,Dying
184,Shot_and_Fall_Forward,Fighting,Dying
185,Shot_and_Slow_Fall_Backward,Fighting,Dying
186,Strangled_and_Fall_Forward,Fighting,Dying
187,Knock_Down,Fighting,Dying
188,Fall_Dead_from_Abdominal_Injury,Fighting,Dying
189,dying_backwards,Fighting,Dying
190,Knock_Down_1,Fighting,Dying
191,Left_Jab_from_Guard,Fighting,Punching
192,Right_Jab_from_Guard,Fighting,Punching
193,Left_Hook_from_Guard,Fighting,Punching
194,Right_Uppercut_from_Guard,Fighting,Punching
195,Right_Upper_Hook_from_Guard,Fighting,Punching
196,Left_Uppercut_from_Guard,Fighting,Punching
197,Left_Short_Hook_from_Guard,Fighting,Punching
198,Punch_Combo,Fighting,Punching
199,Weapon_Combo,Fighting,Punching
200,Punch_Combo_1,Fighting,Punching
201,Punch_Combo_2,Fighting,Punching
202,Weapon_Combo_1,Fighting,Punching
203,Punch_Combo_3,Fighting,Punching
204,Punch_Combo_4,Fighting,Punching
205,Punch_Combo_5,Fighting,Punching
206,Spartan_Kick,Fighting,Punching
207,Roundhouse_Kick,Fighting,Punching
208,Lunge_Roundhouse_Kick,Fighting,Punching
209,Boxing_Guard_Right_Straight_Kick,Fighting,Punching
210,Boxing_Guard_Prep_Straight_Punch,Fighting,Punching
211,Boxing_Guard_Step_Knee_Strike,Fighting,Punching
212,Elbow_Strike,Fighting,Punching
213,Leg_Sweep,Fighting,Punching
214,Punch_Forward_with_Both_Fists,Fighting,Punching
215,High_Kick,Fighting,Punching
216,Lunge_Spin_Kick,Fighting,Punching
217,Sweeping_Kick,Fighting,Punching
218,Step_in_High_Kick,Fighting,Punching
219,Right_Hand_Sword_Slash,Fighting,Punching
220,Shield_Push_Left,Fighting,Punching
221,Charged_Upward_Slash,Fighting,Punching
222,Draw_and_Shoot_from_Back,Fighting,AttackingwithWeapon
223,Draw_and_Shoot_from_Back_1,Fighting,AttackingwithWeapon
224,Archery_Shot,Fighting,AttackingwithWeapon
225,Archery_Shot_1,Fighting,AttackingwithWeapon
226,Archery_Shot_2,Fighting,AttackingwithWeapon
227,Archery_Shot_3,Fighting,AttackingwithWeapon
228,Walk_Forward_with_Bow_Aimed,Fighting,AttackingwithWeapon
229,Draw_and_Shoot_from_Back_2,Fighting,AttackingwithWeapon
230,Walk_Backward_with_Bow_Aimed,Fighting,AttackingwithWeapon
231,Archery_Aim_with_Lateral_Scan,Fighting,AttackingwithWeapon
232,Cowboy_Quick_Draw_Shooting,Fighting,AttackingwithWeapon
233,Walk_Backward_While_Shooting,Fighting,AttackingwithWeapon
234,Walk_Forward_While_Shooting,Fighting,AttackingwithWeapon
235,Forward_Roll_and_Fire,Fighting,AttackingwithWeapon
236,Draw_and_Shoot_Left,Fighting,AttackingwithWeapon
237,Charged_Axe_Chop,Fighting,AttackingwithWeapon
238,Axe_Spin_Attack,Fighting,AttackingwithWeapon
239,Crouch_Pull_and_Throw,Fighting,AttackingwithWeapon
240,Thrust_Slash,Fighting,AttackingwithWeapon
241,Weapon_Combo_2,Fighting,AttackingwithWeapon
242,Charged_Slash,Fighting,AttackingwithWeapon
243,Idle_3,DailyActions,Idle
244,Idle_4,DailyActions,Idle
245,Idle_5,DailyActions,Idle
246,Idle_6,DailyActions,Idle
247,Idle_7,DailyActions,Idle
248,Idle_8,DailyActions,Idle
249,Idle_9,DailyActions,Idle
250,Idle_10,DailyActions,Idle
251,Idle_11,DailyActions,Idle
252,Idle_12,DailyActions,Idle
253,Idle_13,DailyActions,Idle
254,Idle_14,DailyActions,Idle
255,Angry_Ground_Stomp,DailyActions,Idle
256,Angry_Ground_Stomp_1,DailyActions,Idle
257,Angry_Ground_Stomp_2,DailyActions,Idle
258,CrouchLookAroundBow,DailyActions,Idle
259,Step_Forward_and_Push,DailyActions,Pushing
260,Push_Forward_and_Stop,DailyActions,Pushing
261,Push_and_Walk_Forward,DailyActions,Pushing
262,Crouch_and_Push_Forward,DailyActions,Pushing
263,Sleep_on_Desk,DailyActions,Sleeping
264,Cough_While_Sleeping,DailyActions,Sleeping
265,Groan_Holding_Stomach_in_Sleep,DailyActions,Sleeping
266,Lie_Down_Hands_Spread,DailyActions,Sleeping
267,Sleep_Normally,DailyActions,Sleeping
268,Sit_and_Doze_Off,DailyActions,Sleeping
269,sleep,DailyActions,Sleeping
270,Toss_and_Turn,DailyActions,Sleeping
271,Wake_Up_and_Look_Up,DailyActions,Sleeping
272,Lie_on_Chair_Sunbathe_and_Sleep,DailyActions,Sleeping
273,Male_Run_Forward_Pick_Up_Left,DailyActions,PickingUpItem
274,Female_Crouch_Pick_Up_Place_Side,DailyActions,PickingUpItem
275,Female_Run_Forward_Pick_Up_Right,DailyActions,PickingUpItem
276,Male_Bend_Over_Pick_Up,DailyActions,PickingUpItem
277,Female_Crouch_Pick_Fruit_Basket_Stand,DailyActions,PickingUpItem
278,Female_Stand_Pick_Fruit_Basket,DailyActions,PickingUpItem
279,Female_Crouch_Pick_Gun_Point_Forward,DailyActions,PickingUpItem
280,Female_Crouch_Pick_Throw_Forward,DailyActions,PickingUpItem
281,Female_Bend_Over_Pick_Up_Inspect,DailyActions,PickingUpItem
282,Female_Walk_Pick_Put_In_Pocket,DailyActions,PickingUpItem
283,Pull_Radish,DailyActions,PickingUpItem
284,Collect_Object,DailyActions,PickingUpItem
285,open_door,DailyActions,Interacting
286,open_door_1,DailyActions,Interacting
287,open_door_2,DailyActions,Interacting
288,open_door_3,DailyActions,Interacting
289,open_door_4,DailyActions,Interacting
290,Wave_One_Hand,DailyActions,Interacting
291,Wave_for_Help,DailyActions,Interacting
292,Gesture_with_Hand_on_Gun,DailyActions,Interacting
293,Wave_for_Help_1,DailyActions,Interacting
294,Wave_for_Help_2,DailyActions,Interacting
295,Wave_for_Help_3,DailyActions,Interacting
296,Wave_for_Help_4,DailyActions,Interacting
297,Personalized_Gesture,DailyActions,Interacting
298,Cheer_with_Both_Hands_Up,DailyActions,Interacting
299,Stand_Clap_and_Sit_Down,DailyActions,Interacting
300,Sit_Cheer_with_Left_Hand,DailyActions,Interacting
301,Cheer_with_Both_Hands_1,DailyActions,Interacting
302,Stand_Wave_and_Sit_Down,DailyActions,Interacting
303,Cheer_with_Both_Hands,DailyActions,Interacting
304,Seated_Fist_Pump,DailyActions,Interacting
305,Stand_Cheer_and_Sit_Down,DailyActions,Interacting
306,Cheer_with_One_Hand_Up,DailyActions,Interacting
307,Sitting_Answering_Questions,DailyActions,Interacting
308,Talk_Passionately,DailyActions,Interacting
309,Talk_with_Left_Hand_on_Hip,DailyActions,Interacting
310,Talk_with_Left_Hand_Raised,DailyActions,Interacting
311,Stand_Talking_Angry,DailyActions,Interacting
312,Phone_Conversation,DailyActions,Interacting
313,Talk_with_Hands_Open,DailyActions,Interacting
314,Talk_with_Right_Hand_Open,DailyActions,Interacting
315,Hand_on_Hip_Gesture,DailyActions,Interacting
316,Headache_Relief,DailyActions,Interacting
317,Shrug,DailyActions,Interacting
318,Scheming_Hand_Rub,DailyActions,Interacting
319,air_squat,DailyActions,WorkingOut
320,bicep_curl,DailyActions,WorkingOut
321,bicycle_crunch,DailyActions,WorkingOut
322,circle_crunch,DailyActions,WorkingOut
323,golf_drive,DailyActions,WorkingOut
324,idle_to_push_up,DailyActions,WorkingOut
325,jump_push_up,DailyActions,WorkingOut
326,jumping_jacks,DailyActions,WorkingOut
327,kettlebell_swing,DailyActions,WorkingOut
328,push_up_to_idle,DailyActions,WorkingOut
329,push_up,DailyActions,WorkingOut
330,situps,DailyActions,WorkingOut
331,Sumo_High_Pull,DailyActions,WorkingOut
333,Look_Around_Dumbfounded,DailyActions,LookingAround
334,Lower_Weapon_Look_Raise,DailyActions,LookingAround
335,Axe_Breathe_and_Look_Around,DailyActions,LookingAround
336,Long_Breathe_and_Look_Around,DailyActions,LookingAround
337,Torch_Look_Around,DailyActions,LookingAround
338,Short_Breathe_and_Look_Around,DailyActions,LookingAround
339,Walking_Scan_with_Sudden_Look_Back,DailyActions,LookingAround
340,Crawl_and_Look_Back,DailyActions,LookingAround
341,Walk_Slowly_and_Look_Around,DailyActions,LookingAround
342,Stand_and_Drink,DailyActions,Drinking
343,Sit_and_Drink,DailyActions,Drinking
344,Stand_Up1,DailyActions,Transitioning
345,Stand_Up2,DailyActions,Transitioning
346,Stand_Up3,DailyActions,Transitioning
347,Stand_Up4,DailyActions,Transitioning
348,Stand_Up5,DailyActions,Transitioning
349,Stand_Up6,DailyActions,Transitioning
350,Stand_Up7,DailyActions,Transitioning
351,Stand_Up8,DailyActions,Transitioning
352,Stand_Up9,DailyActions,Transitioning
353,Stand_Up10,DailyActions,Transitioning
354,Sitting_Clap,DailyActions,Transitioning
355,Sit_Finger_Wag_No,DailyActions,Transitioning
356,Sit_Hands_on_Head_Lean_Back,DailyActions,Transitioning
357,Sit_Thumbs_Up_Right,DailyActions,Transitioning
358,Sit_Shout_Hands_on_Mouth,DailyActions,Transitioning
359,Look_Back_and_Sit,DailyActions,Transitioning
360,Sit_to_standTransition_Female_2,DailyActions,Transitioning
361,Sit_Dodge,DailyActions,Transitioning
362,Sit_Cross_Legged,DailyActions,Transitioning
363,Sit_Cross_Legged_on_Floor,DailyActions,Transitioning
364,Sit_on_Chair_Arms_Crossed,DailyActions,Transitioning
365,Kneel_on_One_Knee_and_Stand,DailyActions,Transitioning
366,falling_down,DailyActions,Transitioning
367,SideLying_Reach_Help,DailyActions,Transitioning
368,Angry_To_Tantrum_Sit,DailyActions,Transitioning
369,Lie_Back_Leg_Swing,DailyActions,Transitioning
370,Stand_To_Side_Lying,DailyActions,Transitioning
371,Sit_Lie_Bed,DailyActions,Transitioning
372,Prone_Reach_Help,DailyActions,Transitioning
375,Handstand_Flip,BodyMovements,Acting
376,Punch_Pose,BodyMovements,Acting
377,Relax_arms_then_strike_battle_pose,BodyMovements,Acting
378,Large_step_then_high_kick,BodyMovements,Acting
379,Side_jumps_in_horse_stance,BodyMovements,Acting
381,Step_Right_for_Exercise,BodyMovements,Acting
382,Jump_and_Slam_Back_Down,BodyMovements,Acting
384,Quick_Step_and_Spin_Dodge,BodyMovements,Acting
385,Boxing_Warmup,BodyMovements,Acting
386,Zombie_Scream,BodyMovements,Acting
387,Half_Squat_with_Thumb_Up,BodyMovements,Acting
388,Show_Both_Arm_Muscles,BodyMovements,Acting
389,Grip_and_Throw_Down,BodyMovements,Acting
390,Stand_on_Pole_and_Balance,BodyMovements,Acting
391,Head_Hold_in_Pain,BodyMovements,Acting
392,Ground_Flip_and_Sweep_Up,BodyMovements,Acting
393,baseball_pitching,BodyMovements,Acting
394,Backflip_and_Hooks,BodyMovements,Acting
395,Breakdance_1990,BodyMovements,Acting
396,Burpee_Exercise,BodyMovements,Acting
397,360_Power_Spin_Jump,BodyMovements,Acting
398,Crouch_Charge_and_Throw,BodyMovements,Acting
399,Step_Step_Turn_Kick,BodyMovements,Acting
401,Sprint_Roll_and_Flip,BodyMovements,Acting
402,Run_and_Leap,BodyMovements,Acting
403,Victory_Fist_Pump,BodyMovements,Acting
404,Crouch_and_Step_Back,BodyMovements,Acting
405,Joyful_Dance_with_Hand_Sway,BodyMovements,Acting
406,Thomas_Flair_to_Jump_Up,BodyMovements,Acting
407,Wall_Push_Jump_and_Flip,BodyMovements,Acting
408,Jazz_Hands,BodyMovements,Acting
409,Finger_Wag_No,BodyMovements,Acting
410,Kick_a_Soccer_Ball,BodyMovements,Acting
411,Neck_Slashing_Gesture,BodyMovements,Acting
412,victory,BodyMovements,Acting
413,Backflip_and_Rise,BodyMovements,Acting
414,Double_kick_forward,BodyMovements,Acting
415,Happy_Sway_Standing,BodyMovements,Acting
416,Hit_in_Back_While_Running,BodyMovements,Acting
417,Hop_with_Arms_Raised,BodyMovements,Acting
419,Jump_to_Catch_and_Fall,BodyMovements,Acting
420,Left_Hand_Bitten_Step_Back,BodyMovements,Acting
421,Over_Shoulder_Throw,BodyMovements,Acting
422,Rising_Flying_Kick,BodyMovements,Acting
425,Vault_with_Rifle,BodyMovements,VaultingOverObstacle
426,Roll_Behind_Cover,BodyMovements,VaultingOverObstacle
427,Vault_and_Land,BodyMovements,VaultingOverObstacle
428,Unarmed_Vault,BodyMovements,VaultingOverObstacle
429,Parkour_Vault,BodyMovements,VaultingOverObstacle
430,Parkour_Vault_with_Roll,BodyMovements,VaultingOverObstacle
431,Parkour_Vault_1,BodyMovements,VaultingOverObstacle
432,Parkour_Vault_2,BodyMovements,VaultingOverObstacle
433,Parkour_Vault_3,BodyMovements,VaultingOverObstacle
434,Fast_Ladder_Climb,BodyMovements,Climbing
435,Ladder_Climb_Finish,BodyMovements,Climbing
436,Ladder_Mount_Start,BodyMovements,Climbing
437,Slow_Ladder_Climb,BodyMovements,Climbing
438,Ladder_Climb_Loop,BodyMovements,Climbing
439,Climb_Left_with_Both_Limbs,BodyMovements,Climbing
440,Climb_Right_with_Both_Limbs,BodyMovements,Climbing
441,Climb_Stairs,BodyMovements,Climbing
442,Fast_Stair_Climb,BodyMovements,Climbing
444,climbing_up_wall,BodyMovements,Climbing
445,diagonal_wall_run,BodyMovements,Climbing
446,Hang_and_Climb_Left,BodyMovements,Climbing
447,Hang_and_Climb_Rght,BodyMovements,Climbing
448,Jump_and_Grab_Wall,BodyMovements,Climbing
449,Climb_Up_Rope,BodyMovements,Climbing
450,Wall_Flip,BodyMovements,PerformingStunt
451,One_Arm_Handstand,BodyMovements,PerformingStunt
452,Backflip,BodyMovements,PerformingStunt
453,Backflip_Sweep_Kick,BodyMovements,PerformingStunt
455,Sweep_Kick,BodyMovements,PerformingStunt
456,Jumping_Head_Scissor_Takedown,BodyMovements,PerformingStunt
457,Jumping_Punch,BodyMovements,PerformingStunt
458,Unicycle_Jump_Dismount,BodyMovements,PerformingStunt
459,Run_Jump_and_Roll,BodyMovements,PerformingStunt
460,Jump_with_Arms_Open,BodyMovements,Jumping
461,Jump_with_Arms_and_Legs_Open,BodyMovements,Jumping
462,Backflip_Jump,BodyMovements,Jumping
463,Run_and_Jump,BodyMovements,Jumping
464,Leap_and_Punch,BodyMovements,Jumping
465,Leap_Right_and_Catch,BodyMovements,Jumping
466,Regular_Jump,BodyMovements,Jumping
467,Jump_Over_Obstacle_2,BodyMovements,Jumping
468,Back_Jump,BodyMovements,Jumping
470,Jumping_Down,BodyMovements,Jumping
471,Jump_Over_Obstacle,BodyMovements,Jumping
472,Jump_Over_Obstacle_1,BodyMovements,Jumping
473,Quad_Jump_Left,BodyMovements,HangingfromLedge
474,Quad_Jump_Up,BodyMovements,HangingfromLedge
475,Quad_Climb_Right,BodyMovements,HangingfromLedge
476,Hang_and_Push_with_Foot,BodyMovements,HangingfromLedge
477,Rope_Hang_Idle,BodyMovements,HangingfromLedge
478,Bar_Hang_Idle,BodyMovements,HangingfromLedge
479,Upside_Down_Rope_Hang,BodyMovements,HangingfromLedge
480,Upside_Down_Rope_Hang_1,BodyMovements,HangingfromLedge
481,Upside_Down_Rope_Hang_2,BodyMovements,HangingfromLedge
482,Grab_Wall_Midair_Idle,BodyMovements,HangingfromLedge
483,Slow_Bar_Hang_Left,BodyMovements,HangingfromLedge
484,Slow_Bar_Hang_Right,BodyMovements,HangingfromLedge
485,Jump_and_Hang_on_Bar,BodyMovements,HangingfromLedge
486,Wall_Support_to_Step_Down,BodyMovements,HangingfromLedge
487,Climb_Attempt_and_Fall_3,BodyMovements,FallingFreely
488,Climb_Attempt_and_Fall_4,BodyMovements,FallingFreely
489,Climb_Attempt_and_Fall_5,BodyMovements,FallingFreely
490,Fall_Down,BodyMovements,HangingfromLedge
491,Fall_from_Bar,BodyMovements,HangingfromLedge
492,Wall_Support_Jump_to_Ground,BodyMovements,HangingfromLedge
493,Jump_Down_from_Wall,BodyMovements,HangingfromLedge
494,Swing_on_Rope_to_Ground,BodyMovements,HangingfromLedge
495,Grab_Bar_and_Swing_Forward,BodyMovements,HangingfromLedge
496,Rope_Hang_Backflip_to_Crouch,BodyMovements,HangingfromLedge
497,climbing_down_wall,BodyMovements,Climbing
498,Climb_Attempt_and_Fall,BodyMovements,FallingFreely
499,Climb_Attempt_and_Fall_1,BodyMovements,FallingFreely
500,Climb_Attempt_and_Fall_2,BodyMovements,FallingFreely
501,Leap_of_Faith,BodyMovements,FallingFreely
502,Fall1,BodyMovements,FallingFreely
503,Fall2,BodyMovements,FallingFreely
504,Fall3,BodyMovements,FallingFreely
505,Fall4,BodyMovements,FallingFreely
506,Dive_Down_and_Land,BodyMovements,FallingFreely
507,Dive_Down_and_Land_1,BodyMovements,FallingFreely
508,Dive_Down_and_Land_2,BodyMovements,FallingFreely
509,Lean_Forward_Sprint,WalkAndRun,Running
510,Standard_Forward_Charge,WalkAndRun,Running
511,Rifle_Charge,WalkAndRun,Running
512,Male_Head_Down_Charge,WalkAndRun,Running
513,Female_Head_Down_Charge,WalkAndRun,Running
514,Female_Bow_Charge_Left_Hand,WalkAndRun,Running
515,Female_Throwing_Stance_Charge,WalkAndRun,Running
516,slide_light,WalkAndRun,Running
517,slide_right,WalkAndRun,Running
518,sliding_rool,WalkAndRun,Running
519,sliding_stumble,WalkAndRun,Running
520,Crouch_Walk_with_Torch,WalkAndRun,CrouchWalking
521,Crouch_Walk_Left_with_Torch,WalkAndRun,CrouchWalking
522,Crouch_Walk_Right_with_Torch,WalkAndRun,CrouchWalking
523,Cautious_Crouch_Walk_Backward,WalkAndRun,CrouchWalking
524,Cautious_Crouch_Walk_Forward,WalkAndRun,CrouchWalking
525,Cautious_Crouch_Walk_Left,WalkAndRun,CrouchWalking
526,Cautious_Crouch_Walk_Right,WalkAndRun,CrouchWalking
527,Crouch_Walk_Left_with_Gun,WalkAndRun,CrouchWalking
528,Walk_Left_with_Gun,WalkAndRun,CrouchWalking
529,Walk_Backward_with_Gun,WalkAndRun,CrouchWalking
530,run_fast_3,WalkAndRun,Running
531,Sprint_and_Sudden_Stop,WalkAndRun,Running
532,run_fast_4,WalkAndRun,Running
533,run_fast_5,WalkAndRun,Running
534,run_fast_6,WalkAndRun,Running
535,run_fast_7,WalkAndRun,Running
536,run_fast_8,WalkAndRun,Running
537,run_fast_9,WalkAndRun,Running
538,run_fast_10,WalkAndRun,Running
539,run_fast_2,WalkAndRun,Running
540,Injured_Walk_Backward,WalkAndRun,Walking
541,Walk_Backward_with_Gun_1,WalkAndRun,Walking
542,Walk_Backward_with_Grenade,WalkAndRun,Walking
543,Step_Back,WalkAndRun,Walking
544,Walk_Backward,WalkAndRun,Walking
545,Walk_Backward_with_Bow,WalkAndRun,Walking
546,Walk_Backward_with_Sword,WalkAndRun,Walking
547,Walk_Backward_with_Bow_1,WalkAndRun,Walking
548,Walk_Backward_with_Sword_Shield,WalkAndRun,Walking
549,Crawl_Backward,WalkAndRun,Walking
550,Carry_Heavy_Cannon_Forward,WalkAndRun,Walking
551,Carry_Heavy_Object_Walk,WalkAndRun,Walking
552,Carry_Water_Bucket_Walk,WalkAndRun,Walking
553,Elderly_Shaky_Walk,WalkAndRun,Walking
554,Funky_Walk,WalkAndRun,Walking
555,Limping_Walk_1,WalkAndRun,Walking
556,Limping_Walk_2,WalkAndRun,Walking
557,Limping_Walk_3,WalkAndRun,Walking
558,Limping_Walk,WalkAndRun,Walking
559,Sneaky_Walk,WalkAndRun,Walking
560,Spear_Walk,WalkAndRun,Walking
